query,cluster,broad,phrase,exact
именная книга,A,0,0,0
книга с именем ребенка,A,0,0,0
персонализированная книга,A,0,0,0
книга про ребенка,A,0,0,0
сказка про ребенка,A,0,0,0
книга где ребенок главный герой,A,0,0,0
книга по фото ребенка,A,0,0,0
подарок владельцу собаки,B,0,0,0
подарок любителю собак,B,0,0,0
портрет питомца на заказ,B,0,0,0
книга про собаку,B,0,0,0
подарок ребенку на день рождения,C,0,0,0
подарок на новый год ребенку,C,0,0,0
необычный подарок ребенку,C,0,0,0
подарок внуку,C,0,0,0
подарок крестнику,C,0,0,0
сказка ai,D,0,0,0
именариум,D,0,0,0
сказки со мной,D,0,0,0
fairybooks,D,0,0,0
рикибуки,D,0,0,0
книга о тебе,D,0,0,0
фотокнига,E,0,0,0
фотокнига на заказ,E,0,0,0
