query,cluster,broad,phrase,exact
именная книга,A,18000,2400,900
книга с именем ребенка,A,3200,700,260
персонализированная книга,A,2100,480,150
книга про ребенка,A,9500,1100,300
сказка про ребенка,A,6400,900,220
книга где ребенок главный герой,A,700,260,90
книга по фото ребенка,A,1500,320,110
подарок владельцу собаки,B,2600,600,180
подарок любителю собак,B,1800,400,120
портрет питомца на заказ,B,3100,900,340
книга про собаку,B,24000,1900,320
подарок ребенку на день рождения,C,52000,9000,2600
подарок на новый год ребенку,C,31000,5200,1400
необычный подарок ребенку,C,7400,1300,380
подарок внуку,C,9100,2100,700
подарок крестнику,C,4300,1200,430
сказка ai,D,5600,1400,600
именариум,D,900,700,600
сказки со мной,D,1400,500,210
fairybooks,D,400,300,240
рикибуки,D,800,600,500
книга о тебе,D,2200,500,140
фотокнига,E,74000,21000,9800
фотокнига на заказ,E,9800,3100,1400
# ВНИМАНИЕ: числа в этом файле ВЫМЫШЛЕНЫ. Это демонстрация работы tools/wordstat.py,
# а не данные Wordstat. Реальные цифры собираются по forms/05-wordstat-collection.md
